City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,-27.99,76,0,2.06,US,1675632145
1,krasnoselkup,65.7,82.4667,-21.88,100,91,1.82,RU,1675632150
2,qaanaaq,77.484,-69.3632,-18.7,59,2,3.81,GL,1675632151
3,rikitea,-23.1203,-134.9692,26.02,74,5,7.05,PF,1675632152
4,sola,-13.8833,167.55,27.88,78,100,8.79,VU,1675632153
5,pacific grove,36.6177,-121.9166,14.38,76,75,7.2,US,1675632154
6,ushuaia,-54.8,-68.3,8.79,70,40,12.35,AR,1675632155
7,punta arenas,-53.15,-70.9167,13.06,41,0,12.86,CL,1675631866
8,dabhol,17.6,73.1667,21.66,55,10,2.32,IN,1675631968
9,horki,54.2861,30.9842,-5.64,94,100,3.26,BY,1675632157
10,escanaba,45.7453,-87.0646,-2.83,72,100,4.12,US,1675631962
11,maniitsoq,65.4167,-52.9,-16.32,92,100,4.5,GL,1675632158
12,severo-kurilsk,50.6789,156.125,-4.17,75,97,2.73,RU,1675632159
13,balkhash,46.844,74.9804,-11.72,97,100,1.79,KZ,1675632160
14,glen allen,37.666,-77.5064,14.12,53,98,4.92,US,1675632161
15,padang,-0.9492,100.3543,23.03,77,100,1.28,ID,1675632162
16,tiksi,71.6872,128.8694,-32.93,100,100,1.38,RU,1675632162
17,port lincoln,-34.7333,135.8667,16.34,79,11,5.29,AU,1675632163
18,nizhniy kuranakh,58.8353,125.4869,-30.56,99,100,1.26,RU,1675632164
19,sur,22.5667,59.5289,21.57,73,7,2.82,OM,1675632164
20,jamestown,42.097,-79.2353,6.8,52,100,6.69,US,1675632053
21,cape town,-33.9258,18.4232,22.23,77,0,9.26,ZA,1675631887
22,hasaki,35.7333,140.8333,2.9,76,1,1.72,JP,1675632166
23,mataura,-46.1927,168.8643,15.17,86,94,5.0,NZ,1675632167
24,pevek,69.7008,170.3133,-38.56,99,77,1.55,RU,1675632168
25,fianarantsoa,-21.4333,47.0833,16.0,96,100,1.71,MG,1675632169
26,kondinskoye,59.6481,67.41,-17.74,98,100,0.54,RU,1675632170
27,ribeira grande,38.5167,-28.7,16.54,88,75,6.26,PT,1675632170
28,esperance,-33.8667,121.9,20.02,66,57,7.95,AU,1675632036
29,katsuura,35.1333,140.3,8.28,80,0,2.56,JP,1675632171
30,san patricio,28.017,-97.5169,25.97,52,0,3.32,US,1675632172
31,cochrane,51.1834,-114.4687,7.15,52,75,7.72,CA,1675632173
32,itarema,-2.9248,-39.9167,26.32,79,89,5.43,BR,1675632173
33,chokurdakh,70.6333,147.9167,-40.01,100,71,1.07,RU,1675632174
34,new norfolk,-42.7826,147.0587,16.51,64,100,0.89,AU,1675632041
35,dikson,73.5069,80.5464,-20.2,98,100,1.16,RU,1675632115
36,nalut,30.3333,10.85,9.43,54,71,4.35,LY,1675632176
37,shimoda,34.6667,138.95,7.57,60,1,4.87,JP,1675632177
38,bredasdorp,-34.5322,20.0403,21.77,77,100,3.6,ZA,1675632178
39,nemuro,43.3236,145.575,-5.56,82,83,2.77,JP,1675632178
40,bhopal,23.2667,77.4,16.85,35,0,0.95,IN,1675632179
41,hobart,-42.8794,147.3294,17.25,70,20,5.14,AU,1675632181
42,torbay,47.6666,-52.7314,-3.57,75,75,7.2,CA,1675632182
43,vila franca do campo,37.7167,-25.4333,15.23,83,61,2.91,PT,1675632184
44,mindelo,16.8901,-24.9804,20.75,52,75,11.32,CV,1675632186
45,ancud,-41.8697,-73.8203,17.05,73,25,4.62,CL,1675632187
46,zaterechnyy,44.7931,45.2097,-3.2,93,43,3.8,RU,1675632188
47,high level,58.5169,-117.136,-11.94,85,100,1.03,CA,1675632190
48,albany,42.6001,-73.9662,6.52,47,98,0.89,US,1675631950
49,islahiye,37.025,36.6306,2.68,99,100,1.97,TR,1675632191
50,champerico,14.3,-91.9167,33.3,60,0,4.6,GT,1675632193
51,launceston,-41.45,147.1667,14.08,87,69,1.54,AU,1675632194
52,urucara,-2.5364,-57.76,26.65,87,92,0.91,BR,1675632195
53,wadi maliz,36.4681,8.5495,6.81,75,60,0.77,TN,1675632197
54,hilo,19.7297,-155.09,25.71,81,75,2.24,US,1675632199
55,hithadhoo,-0.6,73.0833,26.89,71,76,4.7,MV,1675632029
56,cervo,43.6702,-7.4101,11.65,80,22,10.31,ES,1675632201
57,tasiilaq,65.6145,-37.6368,-4.91,92,100,3.72,GL,1675632054
58,constitucion,-35.3333,-72.4167,19.28,75,17,3.72,CL,1675632203
59,marienburg,54.0359,19.0266,-2.28,92,100,1.66,PL,1675632205
60,komsomolskiy,40.4272,71.7189,3.4,93,100,2.06,UZ,1675632207
61,geraldton,-28.7667,114.6,23.23,73,100,5.14,AU,1675632209
62,hermanus,-34.4187,19.2345,21.0,84,91,4.41,ZA,1675632210
